id,comment,name
3991094000,过去曾经统一支配过纳尔·格兰德空域的托里德王国军人，该隐的亲哥。与蕾欧娜有婚约，但在托里德王国崩坏的动乱中失去了性命。忠于职务，喜欢小孩，大大咧咧。曾担任托里德王国王位继承权第19位哈尔巴达的护卫。,亚伯
3991943000,和炭治郎同期进入鬼杀队。坚信自己非常弱小，虽然在敌人面前嚎啕大哭着祈求帮助的模样很丢人，但因为过度恐惧而陷入睡眠状态后会骤然转变成勇敢的性格。只会使用雷之呼吸的壹之型，这一锻炼到极致的技巧能瞬间将敌人斩断击溃。,我妻善逸
3991941000,为了替被鬼杀死的家人复仇，以及为了让变成鬼的妹妹·祢豆子恢复成人而加入鬼杀队与鬼战斗的少年。是个重视家人又内心温柔的人。头发和眼眸均为红色，在从事火相关工作的家庭里被称作好运的“赫灼之子”。使用水之呼吸。,灶门炭治郎
3991942000,炭治郎的妹妹。在被鬼袭击的时候因为伤口渗入鬼的血液所以鬼化了。虽然变成了鬼但不会袭击人，是能和炭治郎一起与鬼战斗的特异的存在。因为鬼的体质不能照到阳光，移动的时候会进到炭治郎背着的箱子里。,灶门祢豆子
3991946000,鬼杀队中最高层的阶级·柱的其中一人。使用虫之呼吸，被称为虫柱。擅长药学知识，成功制出能打倒鬼的毒。而且擅长把握人心，能迅速捕捉后辈们的性格特点，用适合他们的方式去激励他们奋进。,胡蝶忍
3991947000,鬼杀队中最高层的阶级·柱的其中一人。使用水之呼吸，被称为水柱。寡言少语，经常表现出和其他柱疏远的样子。与刚刚失去家人的灶门兄妹相遇，指点他们去到自己的恩师身边。水之呼吸的拾壹之型“凪”是他的独创技。,富冈义勇
3991944000,和炭治郎同期进入鬼杀队。入队前生活在山中，每天都在和动物比试力气，因此对谁都战意十足。头上戴着野猪头。常用两把刀，使用自己独创的兽之呼吸。,嘴平伊之助
3991945000,鬼杀队中最高层的阶级·柱的其中一人。使用炎之呼吸，被称为炎柱。不断重复着锻炼，塑造出的强大肉体和精神力使他成为了柱。个性开朗明快，比常人还要热心肠一倍。,炼狱杏寿郎
3991384000,美杜莎的旧友星晶兽，“星友”的其中一人。在和美杜莎相遇的很久之前，在霸空战争时被斯忒诺和尤瑞艾莉帮助过。曾经的哪吒残酷并且嗜好战斗，曾把美杜莎和巴尔两人一起打得再起不能，但现在性格沉稳，享受着在人类的习性中寻找趣味。,哪吒
3991950000,因为创世时代留下了不可逆转的瑕疵，所以它被制作出来，守护通往幽世洞口的封印。有两个头和四只手臂。上面的脸看着空之世界，下面的脸监视着幽世，确保哪一边都没有擅动封印之人。启用开始经过了很长时间后，它被幽世泄露的力量入侵，为了避免它暴走，防御机能使它陷入休眠状态。因为幽世的洞口封印被解除、幽世的力量突然活跃，以及露莉亚的存在等各种原因，它从休眠中苏醒了。最后它再次发动刻在核里的特殊术式，用自己作为封印堵住洞口，以身殉职。,星晶兽两面宿傩
3992564000,兼具压倒性的才能和实力、朝气蓬勃的马娘。天真无邪容易和人亲近、不管和谁都能迅速打成一片。自信满满、坚信不疑自己能成为最强的马娘。不管何事都领会的很快、从团里的伙伴那儿学来的剑技、立马就能领会要点模仿着做出来。但是、本人对「没法做到像团长那样！」非常不甘心、貌似在竞赛训练的空闲做着剑技的特训。,东海帝王
3992565000,生在名门目白家的大小姐马娘。对此的自觉在胸中日日钻研积累、瞄准着对目白家来说很特别的竞赛『天皇赏』的胜利。总是优雅且谦虚的举止、在学院内也颇有名声。这样的她有着令人感到意外的兴趣、观看体育比赛。在听说空之世界里有「白金・天空・杯」这样的赛艇竞赛的时候、就想着找机会自己偷偷去看。,目白麦昆
3992566000,【名字】金野船子<br>【职业】黄金偶像<br>【所属】格兰赛演出公司<br>【出生地】黄金星☆<br>【志向】把枪变成了麦克风、要在空之世界掀起革命！　一旦我开始唱歌、全部的星晶兽都会起立鼓掌、金剛晶会从地面刷刷地涌出、连真王也会感动到抽泣！　全空都会变成happy天堂、很厉害的吧！　要是出什么事可不关我的事儿啊！！,黄金船
3992287000,这是依托空之试炼中得到的力量，伊䓒所变化的身姿。作为最强的马娘君临于此，拥有瞬移和操控天气的能力。那和黄金船相似的风姿容貌以及语调，是反映了伊䓒无意识下的憧憬呢，还是另有什么联系呢，详情不得而知。,船西法
3991115000,出现在艺术之岛佩尔菲特的流浪旅人。真实身份是岛屿的守护神星晶兽阿尔特。在永远守护人类的热爱艺术之心的使命中，他逐渐对艺术和人类产生了兴趣，佯装旅人与岛民接触并向他们学习艺术。无论何时都喜爱岛民创作的艺术品，关注着创作者的人生。其自身对艺术的涉猎也极其广泛，诸如创作绘画与乐曲，使用泪滴型的弦乐器演奏并歌唱等。,卡洛
3991116000,司掌热爱艺术之心的星晶兽。曾经有个星之民对嗜好艺术的空之民抱有兴趣，为了研究空之民，制造了用以干涉心灵的星晶兽。研究极尽严苛，阿尔特脆弱的身体无法承受，便陷入了沉眠。星之民离开空之世界后，苏醒的阿尔特发现自己被丢弃，便与岛屿结下契约，开始了随心所欲的生活。遭到虐待时的记忆朦胧模糊，使他忘却了他对空之民的感情和对美好事物的探求心，全都是制作者预先给他加入的设定。,阿尔特
3991294000,拥有梦幻飘渺的容貌和虚无空洞的眼神的少女。性格内向，非常胆小。经常表现出观察对方脸色的样子。也许是性格使然，少女的身边始终笼罩着黑暗。,
