id,text,trans
1,一気に攻めろ！,冲呀！<br>把对面锤爆！
2,ブレイクさせよう！,快把敌人<br>打进BREAK！
3,ここはまかせろ！,这里让我来！
4,ディスペル使います！,我要用驱散了！
5,アビリティで攻める！,技能全开！
6,ディスペル<br>お願いします！,驱散一下敌人！
7,弱体成功！,DEBUFF上好啦！
8,バトル開始！,开打了！
9,慎重にいこう,我们小心点
10,ファランクス使います！,我要开盾了！
11,ちょっと待って,等一下
12,ファランクス<br>お願いします！,帮忙开个盾！
13,敵の技に気をつけて！,注意<br>敌人的技能！
14,ブレイクキープ<br>いきます！,我要用BREAK延长啦！
15,敵の特殊行動に注意！,当心<br>敌人的特动！
16,ブレイクキープ<br>は温存で！,留一下<br>BREAK延长！
17,まだ戦える！,我还能打！
18,ヒールオール使います！,我要用<br>全体治疗啦！
19,ちょっとヤバイかも…,有点不太妙啊…
20,ヒールオール<br>お願いします！,帮忙奶一口！
21,死にそう,要死了
22,クリアオール使います！,要用净化了！
23,温存して立て直そう！,缓一下再打！
24,クリアオール<br>お願いします！,求净化！
25,ありがとう！,谢谢！
26,ごめんなさい！,对不起！
27,オッケー！,好的！
28,救援よろしく！,
29,えっ！？,诶！？
30,トレハンいれます！,上掉宝了！
31,召喚します！,用召唤石了！
32,やったー！！,太棒了！！
99,勝利を信じて！,不要停下来！
99-n,プリキュア！がんばれー！,光之美少女！<br>加油！
99-n,"You can do it, Pretty Cure!",光之美少女！<br>加油！
